Date      Mkt-RF     SMB     HML     RMW     CMA     RF
20180201    0.30    0.42    0.13   -0.16    0.15    0.01
20180202   -1.88    0.16    0.05   -0.05    0.00    0.01
20180205   -2.48   -0.30    0.20   -0.26    0.41    0.01
20180206   -1.66    0.01   -0.04    0.48   -0.08    0.01
20180207    0.85    0.34   -0.18   -0.02   -0.39    0.01
20180208   -2.00    0.56   -0.18   -0.07   -0.03    0.01
20180209   -1.06    0.06   -0.05    0.08    0.05    0.01
20180212    1.48   -0.08   -0.21    0.10   -0.07    0.01
20180213   -0.08    0.26   -0.10    0.03   -0.04    0.01
20180214    1.77   -0.29   -0.26    0.17    0.04    0.01
20180215    1.03   -0.09   -0.26    0.01   -0.01    0.01
20180216    0.36   -0.18   -0.27    0.40   -0.23    0.01
20180219   -0.63    0.38    0.40   -0.12    0.31    0.01
20180220   -0.09   -0.06   -0.48    0.34   -0.29    0.01
20180221   -0.27   -0.11    0.17   -0.24   -0.02    0.01
20180222    0.24   -0.24   -0.03   -0.11    0.00    0.01
20180223   -0.04    0.09    0.07    0.01    0.01    0.01
20180226    0.65   -0.24   -0.18    0.05   -0.18    0.01
20180227   -0.82    0.26    0.14   -0.21   -0.05    0.01
20180228   -1.05    0.18    0.08   -0.12   -0.10    0.01
20180301   -0.75    0.20    0.40   -0.45   -0.12    0.01
20180302   -1.14    0.37   -0.36    0.09   -0.27    0.01
20180305    0.91   -0.20   -0.70    0.30   -0.29    0.01
20180306    0.92    0.33    0.45   -0.02    0.35    0.01
20180307    0.29   -0.15    0.01    0.19   -0.11    0.01
20180308    0.23   -0.24   -0.52    0.25   -0.26    0.01
20180309    0.43    0.03   -0.32    0.09   -0.04    0.01
20180312    0.48    0.24    0.10    0.00    0.20    0.01
20180313   -0.46    0.49    0.22   -0.30    0.09    0.01
20180314   -0.22   -0.10   -0.28    0.26   -0.42    0.01
20180315    0.00   -0.28    0.01   -0.05   -0.14    0.01
20180316    0.04   -0.52    0.49   -0.20    0.10    0.01
20180319   -0.60    0.43   -0.16    0.14   -0.25    0.01
20180320   -0.22   -0.16    0.29   -0.18    0.01    0.01
20180321    0.58    0.01    0.10   -0.11    0.15    0.01
20180322   -1.76    0.09   -0.25    0.18   -0.31    0.01
20180323   -0.44    0.49   -0.12    0.36    0.07    0.01
20180326    0.35   -0.02    0.37   -0.06    0.19    0.01
20180327    0.52   -0.29   -0.31    0.28   -0.23    0.01
20180328   -0.38   -1.17   -0.43    0.20   -0.17    0.01
20180329    0.43   -0.31    0.21    0.02   -0.02    0.01
20180330    0.13   -0.02    0.00    0.00    0.01    0.01
20180402   -0.14   -0.04    0.03    0.03    0.00    0.01
20180403   -0.66    0.34    0.13    0.00   -0.10    0.01
20180404   -0.35   -0.33    0.20   -0.03    0.04    0.01
20180405    1.73   -0.84    0.02   -0.13   -0.05    0.01
20180406    0.07    0.43   -0.21    0.28   -0.26    0.01
20180409    0.49   -0.16   -0.14    0.00   -0.20    0.01
20180410    1.11   -0.15    0.16   -0.04    0.13    0.01
20180411   -0.43    0.43    0.19   -0.16    0.09    0.01
20180412    0.33    0.15    0.25   -0.09    0.15    0.01
20180413    0.17    0.06    0.27   -0.15    0.11    0.01
20180416    0.23    0.37   -0.08    0.06   -0.16    0.01
20180417    0.61   -0.27    0.02    0.05   -0.02    0.01
20180418    0.35    0.11    0.44   -0.36    0.21    0.01
20180419   -0.32    0.28    0.40   -0.36    0.22    0.01
20180420   -0.36   -0.05    0.29   -0.18    0.23    0.01
20180423   -0.25   -0.07    0.07    0.06    0.21    0.01
20180424    0.06   -0.24    0.16   -0.07   -0.07    0.01
20180425   -1.10   -0.25   -0.30    0.06   -0.20    0.01
20180426    0.46   -0.27   -0.31    0.31    0.00    0.01
20180427    0.37   -0.29   -0.03    0.11    0.12    0.01
20180430   -0.13    0.08   -0.09    0.12   -0.03    0.01
